INSERT INTO TM_salary(cl_rank, class, pt, Expt, salary, del_flg)
VALUES
     ("L1", 1, 0, 0, 150000, 1),
     ("L1", 2, 1, 0, 152000, 1),
     ("L1", 3, 2, 0, 154000, 0),
     ("L1", 4, 3, 0, 156000, 0),
     ("L1", 5, 4, 0, 158000, 0),
     ("L1", 6, 5, 0, 160000, 0),
     ("L1", 7, 6, 0, 162000, 0),
     ("L1", 8, 7, 0, 164000, 0),
     ("L1", 9, 8, 0, 166000, 0),
     ("L1", 10, 9, 0, 168000, 0),
     ("L1", 11, 10, 0, 170000, 0),
     ("L1", 12, 11, 0, 172000, 0),
     ("L1", 13, 13, 0, 174000, 0),
     ("L1", 14, 15, 0, 176000, 0),
     ("L1", 15, 17, 0, 178000, 0),
     ("L1", 16, 19, 0, 181000, 0),
     ("L1", 17, 21, 0, 184000, 0),
     ("L1", 18, 24, 0, 187000, 0),
     ("L1", 19, 27, 0, 190000, 0),
     ("L1", 20, 30, 0, 193000, 0),
     ("L1", 21, 33, 0, 196000, 0),
     ("L1", 22, 37, 0, 199000, 0),
     ("L1", 23, 41, 0, 202000, 0),
     ("L1", 24, 46, 0, 205000, 0),
     ("L1", 25, 51, 0, 208000, 0),
     ("L2", 1, 9, 1, 180000, 0),
     ("L2", 2, 10, 1, 183000, 0),
     ("L2", 3, 11, 1, 186000, 0),
     ("L2", 4, 13, 1, 189000, 0),
     ("L2", 5, 15, 1, 192000, 0),
     ("L2", 6, 17, 1, 195000, 0),
     ("L2", 7, 19, 1, 198000, 0),
     ("L2", 8, 21, 1, 201000, 0),
     ("L2", 9, 24, 1, 204000, 0),
     ("L2", 10, 27, 1, 207000, 0),
     ("L2", 11, 30, 1, 210000, 0),
     ("L2", 12, 33, 1, 213000, 0),
     ("L2", 13, 37, 1, 216000, 0),
     ("L2", 14, 41, 1, 219000, 0),
     ("L2", 15, 46, 1, 222000, 0),
     ("L2", 16, 51, 1, 225000, 0),
     ("L2", 17, 57, 1, 228000, 0),
     ("L2", 18, 63, 1, 231000, 0),
     ("L2", 19, 70, 1, 234000, 0),
     ("L2", 20, 77, 1, 237000, 0),
     ("L2", 21, 85, 1, 241000, 0),
     ("L2", 22, 94, 1, 245000, 0),
     ("L2", 23, 104, 1, 249000, 0),
     ("L2", 24, 115, 1, 253000, 0),
     ("L2", 25, 127, 1, 257000, 0),
     ("L3", 1, 17, 2, 217000, 0),
     ("L3", 2, 19, 2, 220000, 0),
     ("L3", 3, 21, 2, 223000, 0),
     ("L3", 4, 24, 2, 226000, 0),
     ("L3", 5, 27, 2, 229000, 0),
     ("L3", 6, 30, 2, 232000, 0),
     ("L3", 7, 33, 2, 235000, 0),
     ("L3", 8, 37, 2, 238000, 0),
