INSERT INTO TM_noit_point(generation, not_it, 1th, 2th, 3th, 4th, 5th_over)
VALUES
     (10, 1, 2, 2, 2, 2, 2),
     (10, 2, 4, 4, 4, 4, 4),
     (10, 3, 6, 6, 6, 6, 6),
     (10, 4, 8, 8, 8, 8, 8),
     (10, 5, 10, 10, 10, 10, 10),
     (20, 1, 0, 2, 2, 2, 2),
     (20, 2, 1, 4, 4, 4, 4),
     (20, 3, 2, 6, 6, 6, 6),
     (20, 4, 3, 8, 8, 8, 8),
     (20, 5, 4, 10, 10, 10, 10),
     (20, 6, 4, 12, 12, 12, 12),
     (20, 7, 5, 14, 14, 14, 14),
     (20, 8, 6, 16, 16, 16, 16),
     (20, 9, 7, 18, 18, 18, 18),
     (20, 10, 8, 20, 20, 20, 20),
     (30, 1, 0, 0, 2, 2, 2),
     (30, 2, 1, 2, 4, 4, 4),
     (30, 3, 1, 2, 6, 6, 6),
     (30, 4, 2, 4, 8, 8, 8),
     (30, 5, 3, 6, 10, 10, 10),
     (30, 6, 3, 6, 12, 12, 12),
     (30, 7, 4, 8, 14, 14, 14),
     (30, 8, 4, 8, 16, 16, 16),
     (30, 9, 5, 10, 18, 18, 18),
     (30, 10, 6, 12, 20, 20, 20),
     (30, 11, 6, 12, 22, 22, 22),
     (30, 12, 7, 14, 24, 24, 24),
     (30, 13, 7, 14, 26, 26, 26),
     (30, 14, 8, 16, 28, 28, 28),
     (30, 15, 9, 18, 30, 30, 30),
     (30, 16, 9, 18, 32, 32, 32),
     (30, 17, 10, 20, 34, 34, 34),
     (30, 18, 10, 20, 36, 36, 36),
     (30, 19, 11, 22, 38, 38, 38),
     (30, 20, 12, 24, 40, 40, 40),
     (40, 1, 0, 0, 1, 2, 2),
     (40, 2, 0, 0, 2, 4, 4),
     (40, 3, 1, 2, 4, 6, 6),
     (40, 4, 1, 2, 5, 8, 8),
     (40, 5, 2, 4, 7, 10, 10),
     (40, 6, 2, 4, 8, 12, 12),
     (40, 7, 2, 4, 9, 14, 14),
     (40, 8, 3, 6, 11, 16, 16),
     (40, 9, 3, 6, 12, 18, 18),
     (40, 10, 4, 8, 14, 20, 20),
     (40, 11, 4, 8, 15, 22, 22),
     (40, 12, 4, 8, 16, 24, 24),
     (40, 13, 5, 10, 18, 26, 26),
     (40, 14, 5, 10, 19, 28, 28),
     (40, 15, 6, 12, 21, 30, 30),
     (40, 16, 6, 12, 22, 32, 32),
     (40, 17, 6, 12, 23, 34, 34),
     (40, 18, 7, 14, 25, 36, 36),
     (40, 19, 7, 14, 26, 38, 38),
     (40, 20, 8, 16, 28, 40, 40),
     (40, 21, 8, 16, 29, 42, 42),
     (40, 22, 8, 16, 30, 44, 44),
     (40, 23, 9, 18, 32, 46, 46),
     (40, 24, 9, 18, 33, 48, 48),
     (40, 25, 10, 20, 35, 50, 50),
     (40, 26, 10, 20, 36, 52, 52),
     (40, 27, 10, 20, 37, 54, 54),
     (40, 28, 11, 22, 39, 56, 56),
     (40, 29, 11, 22, 40, 58, 58),
     (40, 30, 12, 24, 42, 60, 60);
